Time (min)	Temperature (C)	Weight (mg)
7.4875	97.33061	10.64096
7.495834	97.41712	10.64096
7.504166	97.49732	10.64096
7.5125	97.5838	10.64097
7.520834	97.66293	10.64093
7.529166	97.73522	10.64095
7.5375	97.81951	10.64096
7.545832	97.90379	10.64095
7.554168	97.98616	10.64092
7.5625	98.07059	10.64088
7.570832	98.15374	10.64086
7.579168	98.23902	10.64084
7.5875	98.32329	10.64081
7.595834	98.40703	10.64072
7.604166	98.49194	10.64069
7.6125	98.57619	10.64068
7.620834	98.6585	10.64066
7.629166	98.74125	10.64065
7.6375	98.82472	10.64061
7.645834	98.90853	10.64059
